strain	date	predicted_date	variant
sequence_exth	2021.93424657534	2021.9397260274	Omicron
sequence_extm	2021.92876712329	2021.93424657534	Delta
sequence_exwi	2021.92602739726	2021.92876712329	Omicron
sequence_exwn	2021.14246575342	2021.14794520548	Omicron
sequence_exyb	2021.48493150685	2021.48767123288	Alpha
sequence_exyl	2021.75342465753	2021.75616438356	Alpha
sequence_exzb	2021.99178082192	2021.99726027397	Delta
sequence_eyag	2021.94520547945	2021.94794520548	Delta
sequence_eyak	2021.80547945205	2021.80821917808	Delta
sequence_eyas	2021.63561643836	2021.63835616438	Alpha
sequence_eyaw	2021.00547945205	2021.00821917808	Alpha
sequence_eydo	2021.9095890411	2021.91506849315	Omicron
sequence_eyif	2021.60547945205	2021.60821917808	Delta
sequence_eyip	2021.9095890411	2021.91506849315	Omicron
sequence_eyjf	2021.40821917808	2021.41369863014	Delta
sequence_eylr	2021.98082191781	2021.98630136986	Delta
sequence_eymt	2021.96164383562	2021.96712328767	Alpha
sequence_eyof	2021.89315068493	2021.89863013699	Delta
sequence_eyog	2021.82739726027	2021.8301369863	Omicron
sequence_eyqt	2021.19726027397	2021.20273972603	Alpha
sequence_eytr	2021.66849315068	2021.67123287671	Alpha
sequence_eyuf	2021.92054794521	2021.92602739726	Delta
sequence_eyvu	2021.92876712329	2021.93424657534	Alpha
sequence_eyxv	2021.97260273973	2021.97534246575	Alpha
sequence_eyza	2021.80273972603	2021.80821917808	Omicron
sequence_ezad	2021.89863013699	2021.90410958904	Delta
sequence_ezbj	2021.22465753425	2021.22739726027	Omicron
sequence_ezbs	2021.87945205479	2021.88493150685	Alpha
sequence_ezck	2021.87397260274	2021.87945205479	Delta
sequence_ezdy	2021.5095890411	2021.51232876712	Omicron
sequence_ezfa	2021.57260273973	2021.57534246575	Omicron
sequence_ezgr	2021.92876712329	2021.93424657534	Alpha
sequence_ezhd	2021.92328767123	2021.92876712329	Omicron
sequence_eziu	2021.53424657534	2021.5397260274	Alpha
sequence_ezjf	2021.95616438356	2021.95890410959	Alpha
sequence_ezjg	2021.90136986301	2021.90410958904	Omicron
sequence_ezkw	2021.86575342466	2021.87123287671	Delta
sequence_ezmp	2021.53698630137	2021.5397260274	Alpha
sequence_ezmw	2021.39178082192	2021.39726027397	Omicron
sequence_ezon	2021.60821917808	2021.61369863014	Delta
sequence_ezox	2021.21369863014	2021.21643835616	Omicron
sequence_ezpa	2021.72328767123	2021.72876712329	Delta
sequence_ezri	2021.75068493151	2021.75616438356	Omicron
sequence_eztk	2021.27397260274	2021.27945205479	Omicron
sequence_ezug	2021.8904109589	2021.89315068493	Delta
sequence_ezvi	2021.24657534247	2021.24931506849	Alpha
sequence_ezyj	2021.42739726027	2021.43287671233	Alpha
sequence_facr	2021.60273972603	2021.60821917808	Alpha
sequence_fahe	2021.90136986301	2021.90684931507	Alpha
sequence_faiv	2021.83287671233	2021.83561643836	Omicron
sequence_faje	2021.38082191781	2021.38630136986	Alpha
sequence_fakv	2021.17808219178	2021.18356164384	Delta
sequence_falb	2021.5698630137	2021.57260273973	Alpha
sequence_fald	2021.02739726027	2021.0301369863	Alpha
sequence_falm	2021.29863013699	2021.30136986301	Omicron
sequence_faoy	2021.04931506849	2021.05205479452	Omicron
sequence_fapj	2021.71780821918	2021.72328767123	Alpha
sequence_farm	2021.05753424658	2021.06301369863	Alpha
sequence_fasi	2021.61095890411	2021.61643835616	Omicron
sequence_faso	2021.33150684932	2021.33698630137	Omicron
sequence_fauc	2021.90410958904	2021.90684931507	Alpha
sequence_fawj	2021.60273972603	2021.60821917808	Alpha
sequence_faxp	2021.80821917808	2021.81369863014	Omicron
sequence_faxq	2021.56164383562	2021.56438356164	Omicron
sequence_fayn	2021.87123287671	2021.87397260274	Alpha
sequence_fayq	2021.60547945205	2021.61095890411	Delta
sequence_fbav	2021.85205479452	2021.85479452055	Delta
sequence_fbdq	2021.37534246575	2021.38082191781	Omicron
sequence_fbha	2021.90136986301	2021.90684931507	Delta
sequence_fbhe	2021.99726027397	2022.00273972603	Delta
sequence_fbiw	2021.29315068493	2021.29863013699	Alpha
sequence_fbjd	2021.8904109589	2021.89315068493	Delta
sequence_fbke	2021.47397260274	2021.47671232877	Delta
sequence_fbkh	2021.38904109589	2021.39452054795	Omicron
sequence_fbla	2021.8301369863	2021.83561643836	Alpha
sequence_fbnh	2021.14520547945	2021.15068493151	Omicron
sequence_fboy	2021.82739726027	2021.8301369863	Alpha
sequence_fbpl	2021.47945205479	2021.48219178082	Omicron
sequence_fbru	2021.80547945205	2021.80821917808	Omicron
sequence_fbsg	2021.8904109589	2021.89589041096	Delta
sequence_fbtz	2021.65205479452	2021.65753424658	Delta
sequence_fbxm	2021.93424657534	2021.9397260274	Alpha
sequence_fbyt	2021.81369863014	2021.81917808219	Delta
sequence_fcbd	2021.72328767123	2021.72876712329	Omicron
sequence_fcdq	2021.65205479452	2021.65479452055	Alpha
sequence_fcha	2021.68493150685	2021.68767123288	Alpha
sequence_fchn	2021.74794520548	2021.75068493151	Omicron
sequence_fcjl	2021.98356164384	2021.98630136986	Alpha
sequence_fcjo	2021.3095890411	2021.31232876712	Omicron
sequence_fcmi	2021.46301369863	2021.46849315068	Alpha
sequence_fcmq	2021.6	2021.60547945205	Delta
sequence_fcpb	2021.96164383562	2021.96712328767	Delta
sequence_fcqj	2021.60821917808	2021.61369863014	Omicron
sequence_fcqk	2021.33698630137	2021.34246575342	Alpha
sequence_fcqn	2021.89863013699	2021.90136986301	Alpha
sequence_fcrh	2021.8602739726	2021.86301369863	Delta
sequence_fcrl	2021.88219178082	2021.88767123288	Delta
sequence_fcrw	2021.21095890411	2021.21643835616	Omicron
sequence_fcsb	2021.54520547945	2021.54794520548	Alpha
sequence_fcty	2021.92328767123	2021.92602739726	Omicron
sequence_fcup	2021.82465753425	2021.8301369863	Omicron
sequence_fcwa	2021.92602739726	2021.92876712329	Omicron
sequence_fcwk	2021.99452054795	2022	Delta
sequence_fcxs	2021.15342465753	2021.15890410959	Delta
sequence_fcyj	2021.87671232877	2021.87945205479	Alpha
sequence_fczq	2021.88767123288	2021.89315068493	Delta
sequence_fczv	2021.75890410959	2021.76164383562	Omicron
sequence_fdak	2021.8	2021.80273972603	Alpha
sequence_fdbe	2021.88767123288	2021.89315068493	Alpha
sequence_fdcb	2021.91780821918	2021.92054794521	Omicron
sequence_fdhe	2021.63287671233	2021.63561643836	Omicron
sequence_fdix	2021.26301369863	2021.26849315068	Alpha
sequence_fdiz	2021.95616438356	2021.96164383562	Delta
sequence_fdkc	2021.80273972603	2021.80547945205	Omicron
sequence_fdkw	2021.00547945205	2021.00821917808	Delta
sequence_fdli	2021.55616438356	2021.56164383562	Alpha
sequence_fdlk	2021.93698630137	2021.94246575342	Alpha
sequence_fdlm	2021.65479452055	2021.6602739726	Alpha
sequence_fdmp	2021.7397260274	2021.74246575342	Delta
sequence_fdmu	2021.21095890411	2021.21369863014	Omicron
sequence_fdnv	2021.92876712329	2021.93424657534	Omicron
sequence_fdqg	2021.53424657534	2021.5397260274	Alpha
sequence_fdqk	2021.03561643836	2021.04109589041	Omicron
sequence_fdsy	2021.1095890411	2021.11232876712	Delta
sequence_fdtj	2021.86301369863	2021.86575342466	Alpha
sequence_fduj	2021.68219178082	2021.68767123288	Delta
sequence_fdvi	2021.14246575342	2021.14794520548	Alpha
sequence_fdvp	2021.83561643836	2021.83835616438	Omicron
sequence_fdvq	2021.58630136986	2021.58904109589	Omicron
sequence_fdxz	2021.87397260274	2021.87671232877	Delta
sequence_fdyj	2021.83561643836	2021.83835616438	Delta
sequence_feal	2021.00273972603	2021.00547945205	Omicron
sequence_feci	2021.59178082192	2021.59452054795	Omicron
sequence_fehz	2021.99178082192	2021.99726027397	Omicron
sequence_feir	2021.61643835616	2021.62191780822	Omicron
sequence_fejt	2021.31780821918	2021.32054794521	Alpha
sequence_feka	2021.93424657534	2021.9397260274	Alpha
sequence_fekj	2021.95068493151	2021.95342465753	Omicron
sequence_feol	2021.63835616438	2021.64383561644	Alpha
sequence_feqi	2021.26575342466	2021.26849315068	Delta
sequence_feqy	2021.19178082192	2021.19452054795	Omicron
sequence_feti	2021.3397260274	2021.34520547945	Omicron
sequence_feut	2021.09589041096	2021.09863013699	Alpha
sequence_fevr	2021.83835616438	2021.84109589041	Delta
sequence_fevy	2021.87397260274	2021.87671232877	Alpha
sequence_fexp	2021.53150684932	2021.53424657534	Alpha
sequence_feyl	2021.63287671233	2021.63561643836	Alpha
sequence_feyp	2021.08767123288	2021.09315068493	Alpha
sequence_fezk	2021.83835616438	2021.84109589041	Delta
sequence_fgao	2021.5397260274	2021.54520547945	Alpha
sequence_fgau	2021.55616438356	2021.55890410959	Alpha
sequence_fgbj	2021.96164383562	2021.96712328767	Alpha
sequence_fgce	2021.31506849315	2021.31780821918	Alpha
sequence_fgcu	2021.6	2021.60273972603	Delta
sequence_fgei	2021.58904109589	2021.59178082192	Delta
sequence_fgew	2021.92054794521	2021.92602739726	Delta
sequence_fghc	2021.78356164384	2021.78904109589	Delta
sequence_fgho	2021.35068493151	2021.35616438356	Alpha
sequence_fgkz	2021.29589041096	2021.29863013699	Alpha
sequence_fgnw	2021.06575342466	2021.07123287671	Delta
sequence_fgsc	2021.55616438356	2021.56164383562	Delta
sequence_fguq	2021.35342465753	2021.35890410959	Alpha
sequence_fgxv	2021.96712328767	2021.97260273973	Delta
sequence_fgza	2021.85205479452	2021.85753424658	Omicron
sequence_fhbg	2021.81917808219	2021.82465753425	Delta
sequence_fhdt	2021.84931506849	2021.85479452055	Alpha
sequence_fhir	2021.80273972603	2021.80547945205	Delta
sequence_fhiu	2021.92602739726	2021.93150684932	Delta
sequence_fhkb	2021.35616438356	2021.36164383562	Omicron
sequence_fhkg	2021.81369863014	2021.81917808219	Omicron
sequence_fhki	2021.75342465753	2021.75616438356	Omicron
sequence_fhlc	2021.94246575342	2021.94794520548	Omicron
sequence_fhlt	2021.85753424658	2021.86301369863	Alpha
sequence_fhmd	2021.1095890411	2021.11232876712	Omicron
sequence_fhmv	2021.0301369863	2021.03561643836	Alpha
sequence_fhnb	2021.26301369863	2021.26575342466	Omicron
sequence_fhoe	2021.51506849315	2021.52054794521	Delta
sequence_fhog	2021.1095890411	2021.11506849315	Alpha
sequence_fhpe	2021.91506849315	2021.91780821918	Delta
sequence_fhqv	2021.48767123288	2021.49315068493	Delta
sequence_fhrq	2021.38630136986	2021.38904109589	Alpha
sequence_fhrt	2021.33698630137	2021.3397260274	Delta
sequence_fhrz	2021.07671232877	2021.08219178082	Delta
sequence_fhuz	2021.9397260274	2021.94246575342	Omicron
sequence_fhvy	2021.8904109589	2021.89589041096	Delta
sequence_fhwk	2021.62191780822	2021.62739726027	Alpha
sequence_fhwq	2021.90410958904	2021.9095890411	Omicron
sequence_fhxo	2021.06301369863	2021.06575342466	Alpha
sequence_fhyq	2021.56438356164	2021.56712328767	Alpha
sequence_fhzp	2021.94794520548	2021.95068493151	Omicron
sequence_fhzx	2021.9698630137	2021.97260273973	Delta
sequence_fibp	2021.87945205479	2021.88493150685	Omicron
sequence_ficm	2021.8904109589	2021.89315068493	Alpha
sequence_fida	2021.41369863014	2021.41643835616	Delta
sequence_fien	2021.92876712329	2021.93424657534	Alpha
sequence_figo	2021.53150684932	2021.53698630137	Omicron
sequence_fikh	2021.90136986301	2021.90684931507	Omicron
sequence_fikp	2021.97534246575	2021.98082191781	Delta
sequence_fikt	2021.74520547945	2021.74794520548	Alpha
sequence_filw	2021.8904109589	2021.89315068493	Alpha
sequence_fima	2021.85753424658	2021.8602739726	Delta
sequence_fimj	2021.92602739726	2021.93150684932	Delta
sequence_fimn	2021.25753424658	2021.2602739726	Alpha
sequence_firb	2021.81369863014	2021.81917808219	Alpha
sequence_fiuq	2021.85205479452	2021.85479452055	Delta
sequence_fiuz	2021.77534246575	2021.78082191781	Alpha
sequence_fixo	2021.2602739726	2021.26301369863	Alpha
sequence_fixy	2021.50684931507	2021.5095890411	Omicron
sequence_fiyb	2021.57260273973	2021.57808219178	Alpha
sequence_fiyz	2021.7095890411	2021.71232876712	Omicron
sequence_fjao	2021.74520547945	2021.75068493151	Omicron
sequence_fjau	2021.16438356164	2021.1698630137	Delta
sequence_fjbc	2021.2602739726	2021.26301369863	Delta
sequence_fjbt	2021.29863013699	2021.30410958904	Omicron
sequence_fjdk	2021.17808219178	2021.18356164384	Delta
sequence_fjec	2021.73698630137	2021.7397260274	Delta
sequence_fjgv	2021.92328767123	2021.92876712329	Delta
sequence_fjhn	2021.00821917808	2021.01369863014	Delta
sequence_fjie	2021.88767123288	2021.8904109589	Delta
sequence_fjlz	2021.0301369863	2021.03561643836	Delta
sequence_fjmv	2021.89863013699	2021.90136986301	Omicron
sequence_fjnc	2021.85479452055	2021.85753424658	Alpha
sequence_fjnq	2021.85753424658	2021.8602739726	Omicron
sequence_fjor	2021.32876712329	2021.33424657534	Alpha
sequence_fjpb	2021.96438356164	2021.9698630137	Delta
sequence_fjpu	2021.51780821918	2021.52328767123	Omicron
sequence_fjqr	2021.63561643836	2021.64109589041	Alpha
sequence_fjrd	2021.67397260274	2021.67671232877	Omicron
sequence_fjsu	2021.14794520548	2021.15342465753	Omicron
sequence_fjtx	2021.8904109589	2021.89589041096	Delta
sequence_fjue	2021.81917808219	2021.82191780822	Delta
sequence_fjun	2021.5698630137	2021.57534246575	Delta
sequence_fjus	2021.2301369863	2021.23287671233	Alpha
sequence_fjvn	2021.60273972603	2021.60821917808	Alpha
sequence_fjvo	2021.85479452055	2021.8602739726	Alpha
sequence_fjwn	2021.00273972603	2021.00821917808	Delta
sequence_fjwp	2021.12054794521	2021.12328767123	Delta
sequence_fjyg	2021.79726027397	2021.8	Delta
sequence_fjyh	2021.29315068493	2021.29863013699	Alpha
sequence_fkaj	2021.53150684932	2021.53698630137	Alpha
sequence_fkan	2021.37534246575	2021.38082191781	Alpha
sequence_fkbg	2021.83835616438	2021.84109589041	Delta
sequence_fkbx	2021.22191780822	2021.22465753425	Alpha
sequence_fker	2021.54520547945	2021.55068493151	Delta
sequence_fkgt	2021.90136986301	2021.90410958904	Delta
sequence_fkhc	2021.47123287671	2021.47397260274	Omicron
sequence_fklh	2021.31232876712	2021.31506849315	Delta
sequence_fklp	2021.83561643836	2021.83835616438	Omicron
sequence_fklq	2021.92054794521	2021.92328767123	Omicron
sequence_fklt	2021.19178082192	2021.19726027397	Alpha
sequence_fkmz	2021.8602739726	2021.86575342466	Delta
sequence_fkoa	2021.83835616438	2021.84383561644	Delta
sequence_fkpi	2021.03835616438	2021.04109589041	Alpha
sequence_fkqz	2021.9397260274	2021.94520547945	Delta
sequence_fkru	2021.63561643836	2021.64109589041	Alpha
sequence_fkur	2021.30136986301	2021.30410958904	Omicron
sequence_fkus	2021.12054794521	2021.12328767123	Omicron
sequence_fkwm	2021.02739726027	2021.03287671233	Delta
sequence_fkzg	2021.37808219178	2021.38082191781	Delta
sequence_fkzh	2021.33698630137	2021.3397260274	Delta
sequence_flav	2021.92328767123	2021.92876712329	Alpha
sequence_flay	2021.8602739726	2021.86575342466	Delta
sequence_fldt	2021.03561643836	2021.03835616438	Delta
sequence_fleh	2021.58356164384	2021.58904109589	Omicron
sequence_flew	2021.50136986301	2021.50684931507	Omicron
sequence_flib	2021.92054794521	2021.92328767123	Omicron
sequence_flie	2021.04931506849	2021.05479452055	Omicron
sequence_fljg	2021.07671232877	2021.07945205479	Omicron
sequence_flmj	2021.91780821918	2021.92328767123	Delta
sequence_flmq	2021.95342465753	2021.95890410959	Omicron
sequence_flmv	2021.95890410959	2021.96164383562	Delta
sequence_flos	2021.41095890411	2021.41369863014	Alpha
sequence_flou	2021.95890410959	2021.96438356164	Alpha
sequence_floz	2021.89315068493	2021.89589041096	Delta
sequence_flpv	2021.75342465753	2021.75890410959	Delta
sequence_flqe	2021.38082191781	2021.38356164384	Delta
sequence_flqn	2021.07397260274	2021.07671232877	Delta
sequence_flqx	2021.34794520548	2021.35342465753	Alpha
sequence_flwk	2021.91232876712	2021.91780821918	Delta
sequence_flwu	2021.60547945205	2021.60821917808	Alpha
sequence_flxz	2021.19452054795	2021.19726027397	Alpha
sequence_flyc	2021.14520547945	2021.15068493151	Omicron
sequence_flyx	2021.57808219178	2021.58356164384	Omicron
sequence_flzm	2021.85479452055	2021.8602739726	Omicron
sequence_fmab	2021.87397260274	2021.87945205479	Alpha
sequence_fmag	2021.63287671233	2021.63561643836	Delta
sequence_fmar	2021.98356164384	2021.98630136986	Alpha
sequence_fmby	2021.00547945205	2021.01095890411	Delta
sequence_fmca	2021.79178082192	2021.79726027397	Omicron
sequence_fmcj	2021.81095890411	2021.81369863014	Omicron
sequence_fmdl	2021.27671232877	2021.27945205479	Delta
sequence_fmdr	2021.99452054795	2021.99726027397	Omicron
sequence_fmgs	2021.6	2021.60547945205	Delta
sequence_fmhg	2021.34246575342	2021.34794520548	Delta
sequence_fmjt	2021.86849315069	2021.87123287671	Delta
sequence_fmko	2021.37808219178	2021.38356164384	Omicron
sequence_fmku	2021.34246575342	2021.34520547945	Alpha
sequence_fmla	2021.88767123288	2021.8904109589	Omicron
sequence_fmly	2021.82739726027	2021.83287671233	Omicron
sequence_fmng	2021.21917808219	2021.22465753425	Omicron
sequence_fmno	2021.63835616438	2021.64109589041	Delta
sequence_fmpq	2021.18904109589	2021.19178082192	Omicron
sequence_fmqh	2021.78082191781	2021.78356164384	Delta
sequence_fmqr	2021.91780821918	2021.92328767123	Delta
sequence_fmrk	2021.91780821918	2021.92328767123	Delta
sequence_fmsl	2021.68493150685	2021.6904109589	Delta
sequence_fmun	2021.85479452055	2021.8602739726	Alpha
sequence_fmwa	2021.93424657534	2021.93698630137	Alpha
sequence_fmxl	2021.41643835616	2021.42191780822	Omicron
sequence_fmxn	2021.92876712329	2021.93424657534	Omicron
sequence_fmzy	2021.85205479452	2021.85753424658	Omicron
sequence_fnal	2021.89315068493	2021.89863013699	Delta
sequence_fncy	2021.62465753425	2021.6301369863	Delta
sequence_fnel	2021.88219178082	2021.88767123288	Alpha
sequence_fngm	2021.98082191781	2021.98356164384	Omicron
sequence_fnhq	2021.91232876712	2021.91780821918	Delta
sequence_fniq	2021.99452054795	2022	Omicron
sequence_fniy	2021.80273972603	2021.80547945205	Omicron
sequence_fnle	2021.89863013699	2021.90136986301	Omicron
sequence_fnlp	2021.64383561644	2021.64657534247	Delta
sequence_fnls	2021.93150684932	2021.93424657534	Alpha
sequence_fnma	2021.95890410959	2021.96164383562	Delta
sequence_fnmv	2021.92876712329	2021.93424657534	Delta
sequence_fnru	2021.82465753425	2021.82739726027	Omicron
sequence_fntb	2021.92054794521	2021.92602739726	Alpha
sequence_fnue	2021.83561643836	2021.83835616438	Delta
sequence_fnuk	2021.10684931507	2021.11232876712	Alpha
sequence_fnwt	2021.4	2021.40547945205	Alpha
sequence_fnxd	2021.93150684932	2021.93698630137	Alpha
sequence_fnyh	2021.3397260274	2021.34246575342	Omicron
sequence_foad	2021.92602739726	2021.92876712329	Alpha
sequence_foax	2021.4	2021.40547945205	Alpha
sequence_fodl	2021.32328767123	2021.32876712329	Omicron
sequence_fodv	2021.92054794521	2021.92328767123	Delta
sequence_foeg	2021.58356164384	2021.58904109589	Omicron
sequence_foej	2021.88493150685	2021.8904109589	Alpha
sequence_fogc	2021.85753424658	2021.8602739726	Delta
sequence_foge	2021.22191780822	2021.22739726027	Alpha
sequence_fogv	2021.87123287671	2021.87397260274	Omicron
sequence_fohm	2021.59726027397	2021.6	Delta
sequence_foih	2021.91232876712	2021.91780821918	Delta
sequence_fojz	2021.87397260274	2021.87671232877	Alpha
sequence_folc	2021.69589041096	2021.70136986301	Delta
sequence_fope	2021.02191780822	2021.02465753425	Alpha
sequence_fopm	2021.81643835616	2021.82191780822	Alpha
sequence_fopv	2021.80821917808	2021.81095890411	Alpha
sequence_foqd	2021.78904109589	2021.79178082192	Delta
sequence_foqs	2021.87671232877	2021.88219178082	Omicron
sequence_fosb	2021.88219178082	2021.88767123288	Delta
sequence_fota	2021.37534246575	2021.38082191781	Omicron
sequence_fotm	2021.34246575342	2021.34520547945	Delta
sequence_fouj	2021.81369863014	2021.81643835616	Delta
sequence_fout	2021.53424657534	2021.5397260274	Alpha
sequence_fowj	2021.78082191781	2021.78356164384	Delta
sequence_foxj	2021.85479452055	2021.8602739726	Delta
sequence_foxt	2021.41917808219	2021.42465753425	Delta
sequence_foxv	2021.21917808219	2021.22465753425	Alpha
sequence_foyb	2021.84657534247	2021.85205479452	Omicron
sequence_foyx	2021.99452054795	2021.99726027397	Delta
sequence_fozb	2021.16712328767	2021.17260273973	Delta
sequence_fpca	2021.82465753425	2021.8301369863	Alpha
sequence_fpet	2021.15068493151	2021.15616438356	Omicron
sequence_fpgn	2021.64109589041	2021.64383561644	Alpha
sequence_fphb	2021.92328767123	2021.92876712329	Omicron
sequence_fphu	2021.88219178082	2021.88767123288	Alpha
sequence_fpil	2021.65479452055	2021.6602739726	Omicron
sequence_fpim	2021.57534246575	2021.58082191781	Delta
sequence_fpiq	2021.70410958904	2021.7095890411	Omicron
sequence_fpiu	2021.41369863014	2021.41917808219	Omicron
sequence_fpks	2021.8301369863	2021.83287671233	Omicron
sequence_fpkx	2021.82191780822	2021.82465753425	Delta
sequence_fplg	2021.62191780822	2021.62465753425	Delta
sequence_fplr	2021.6301369863	2021.63287671233	Omicron
sequence_fpms	2021.81917808219	2021.82191780822	Delta
sequence_fpoq	2021.87123287671	2021.87671232877	Alpha
sequence_fpqa	2021.33698630137	2021.3397260274	Delta
sequence_fprm	2021.53424657534	2021.5397260274	Delta
sequence_fpvu	2021.34794520548	2021.35342465753	Alpha
sequence_fpyd	2021.84383561644	2021.84931506849	Alpha
sequence_fpys	2021.82465753425	2021.82739726027	Delta
sequence_fpzg	2021.54794520548	2021.55068493151	Delta
sequence_fqal	2021.21369863014	2021.21643835616	Alpha
sequence_fqas	2021.82465753425	2021.82739726027	Alpha
sequence_fqav	2021.99452054795	2021.99726027397	Omicron
sequence_fqbi	2021.03561643836	2021.04109589041	Omicron
sequence_fqel	2021.86301369863	2021.86575342466	Omicron
sequence_fqir	2021.53424657534	2021.5397260274	Delta
sequence_fqiz	2021.92876712329	2021.93150684932	Alpha
sequence_fqmz	2021.87397260274	2021.87671232877	Alpha
sequence_fqpj	2021.02465753425	2021.02739726027	Alpha
sequence_fqpv	2021.62191780822	2021.62465753425	Delta
sequence_fqrl	2021.62465753425	2021.62739726027	Delta
sequence_fqsd	2021.88767123288	2021.8904109589	Delta
sequence_fqsy	2021.78082191781	2021.78356164384	Delta
sequence_fquv	2021.57808219178	2021.58082191781	Omicron
sequence_fquw	2021.9095890411	2021.91506849315	Alpha
sequence_fqux	2021.34794520548	2021.35342465753	Alpha
sequence_fqvh	2021.78630136986	2021.79178082192	Alpha
sequence_fqwc	2021.95068493151	2021.95342465753	Alpha
sequence_fqwd	2021.9397260274	2021.94520547945	Delta
sequence_fqxa	2021.52876712329	2021.53424657534	Omicron
sequence_fqxs	2021.14520547945	2021.15068493151	Delta
sequence_fqyi	2021.41643835616	2021.42191780822	Delta
sequence_frda	2021.75616438356	2021.75890410959	Alpha
sequence_frev	2021.3698630137	2021.37534246575	Delta
sequence_frgj	2021.27123287671	2021.27397260274	Alpha
sequence_frim	2021.87397260274	2021.87671232877	Alpha
sequence_frlq	2021.78904109589	2021.79178082192	Alpha
sequence_frmd	2021.77808219178	2021.78082191781	Alpha
sequence_frnl	2021.01917808219	2021.02465753425	Omicron
sequence_frnx	2021.00821917808	2021.01369863014	Alpha
sequence_frpe	2021.92876712329	2021.93424657534	Delta
sequence_frps	2021.8602739726	2021.86301369863	Omicron
sequence_frqd	2021.64383561644	2021.64657534247	Delta
sequence_frst	2021.96164383562	2021.96712328767	Omicron
sequence_frsy	2021.82465753425	2021.82739726027	Delta
sequence_frui	2021.98904109589	2021.99452054795	Omicron
sequence_frus	2021.30136986301	2021.30684931507	Alpha
sequence_frvs	2021.60273972603	2021.60821917808	Alpha
sequence_fsal	2021.94246575342	2021.94794520548	Delta
sequence_fsbn	2021.36438356164	2021.3698630137	Delta
sequence_fsbw	2021.38082191781	2021.38630136986	Alpha
sequence_fscw	2021.38630136986	2021.39178082192	Omicron
sequence_fscz	2021.9698630137	2021.97260273973	Omicron
sequence_fsdl	2021.07123287671	2021.07397260274	Alpha
sequence_fsdv	2021.78630136986	2021.78904109589	Omicron
sequence_fsgh	2021.85479452055	2021.85753424658	Alpha
sequence_fshi	2021.58082191781	2021.58630136986	Omicron
sequence_fsjb	2021.58630136986	2021.58904109589	Omicron
sequence_fsju	2021.92328767123	2021.92876712329	Omicron
sequence_fskg	2021.85205479452	2021.85753424658	Alpha
sequence_fsli	2021.85479452055	2021.85753424658	Alpha
sequence_fsou	2021.93424657534	2021.93698630137	Alpha
sequence_fsrm	2021.99452054795	2021.99726027397	Omicron
sequence_fsrp	2021.92054794521	2021.92328767123	Delta
sequence_fstx	2021.40821917808	2021.41369863014	Delta
sequence_fsuo	2021.84657534247	2021.84931506849	Alpha
sequence_fsuq	2021.84383561644	2021.84657534247	Alpha
sequence_fsvo	2021.63287671233	2021.63561643836	Omicron
sequence_fswo	2021.03287671233	2021.03561643836	Delta
sequence_fsxb	2021.00273972603	2021.00821917808	Delta
sequence_fsxe	2021.85753424658	2021.8602739726	Alpha
sequence_ftax	2021.81917808219	2021.82191780822	Omicron
sequence_ftdg	2021.98630136986	2021.98904109589	Delta
sequence_ftej	2021.87671232877	2021.88219178082	Delta
sequence_fteu	2021.8904109589	2021.89589041096	Omicron
sequence_ftge	2021.79178082192	2021.79452054795	Alpha
sequence_fthq	2021.90684931507	2021.91232876712	Delta
sequence_ftjr	2021.87945205479	2021.88493150685	Alpha
sequence_ftke	2021.92602739726	2021.92876712329	Delta
sequence_ftna	2021.17260273973	2021.17534246575	Delta
sequence_ftoy	2021.94794520548	2021.95068493151	Alpha
sequence_ftpk	2021.42465753425	2021.4301369863	Delta
sequence_ftpm	2021.84657534247	2021.85205479452	Delta
sequence_ftqg	2021.92328767123	2021.92602739726	Omicron
sequence_ftqs	2021.41369863014	2021.41917808219	Delta
sequence_ftqw	2021.79452054795	2021.8	Omicron
sequence_ftqz	2021.03561643836	2021.04109589041	Omicron
sequence_ftrc	2021.90136986301	2021.90684931507	Alpha
sequence_ftrd	2021.99726027397	2022	Delta
sequence_ftue	2021.92054794521	2021.92602739726	Alpha
sequence_ftuk	2021.6	2021.60273972603	Alpha
sequence_ftux	2021.77808219178	2021.78356164384	Omicron
sequence_ftvs	2021.64109589041	2021.64383561644	Alpha
sequence_ftwi	2021.98082191781	2021.98356164384	Alpha
sequence_ftxj	2021.26575342466	2021.27123287671	Delta
sequence_ftxs	2021.03287671233	2021.03561643836	Alpha
sequence_ftzc	2021.32602739726	2021.32876712329	Omicron
sequence_fuai	2021.02191780822	2021.02465753425	Alpha
sequence_fuaw	2021.38356164384	2021.38630136986	Omicron
sequence_fubh	2021.92876712329	2021.93150684932	Alpha
sequence_fubi	2021.4	2021.40273972603	Omicron
sequence_fuck	2021.0301369863	2021.03561643836	Alpha
sequence_fucl	2021.6301369863	2021.63561643836	Omicron
sequence_fudn	2021.9397260274	2021.94246575342	Omicron
sequence_fuel	2021.28493150685	2021.28767123288	Alpha
sequence_fuen	2021.95342465753	2021.95616438356	Delta
sequence_fuer	2021.40821917808	2021.41095890411	Omicron
sequence_fugn	2021.51506849315	2021.51780821918	Delta
sequence_fuhn	2021.32602739726	2021.32876712329	Delta
sequence_fuja	2021.97260273973	2021.97808219178	Omicron
sequence_fujo	2021.91506849315	2021.92054794521	Delta
sequence_fujr	2021.2904109589	2021.29589041096	Omicron
sequence_fujv	2021.59178082192	2021.59726027397	Delta
